ts,open,high,low,close,volume
2025-12-07 22:00:00,90260.595,90264.74,89024.727,89611.15,0.011942008
2025-12-07 23:00:00,89606.2,90504.99,89527.4115,90397.4175,0.001420302
2025-12-08 00:00:00,90413.6725,90620.6095,89866.6515,90359.255,0.013679274
2025-12-08 01:00:00,90379.0475,91787.4,90324.435,90936.392,0.009140786
2025-12-08 02:00:00,90910.235,91476.34,90810.425,91372.555,0.005866706
2025-12-08 03:00:00,91380.709,91444.164,90925.4,91062.625,0.016546503
2025-12-08 04:00:00,91095.18,91538.711,91018.1,91292.387,0.017023274
2025-12-08 05:00:00,91308.746,91490.227,91031.974,91330.684,0.017508452
2025-12-08 06:00:00,91351.874,91684.34,91235.95,91463.043,0.003377391
2025-12-08 07:00:00,91500.404,91916.002,91356.778,91595.6,0.010570492
2025-12-08 08:00:00,91559.558,91966.762,91492.4175,91836.825,0.180176472
2025-12-08 09:00:00,91830.424,92306.181,91801.1,91931.1565,0.10439999
2025-12-08 10:00:00,91912.6755,92298.13,91803.6,92146.8,0.031128312
2025-12-08 11:00:00,92149.925,92263.573,91830.811,91979.43,0.015929805
2025-12-08 12:00:00,91987.445,92011.2165,91681.85,91790.545,0.040379665
2025-12-08 13:00:00,91782.0,92242.21,91334.766,91441.794,0.175463367
2025-12-08 14:00:00,91472.7005,91760.789,89544.4145320195,90839.295,0.025494551
2025-12-08 15:00:00,90835.649,91558.1005726285,89614.552,89968.4845,0.0204284
2025-12-08 16:00:00,89966.88,91558.1005726285,89673.2555,89968.5,0.127683023
2025-12-08 17:00:00,89974.772,90370.95,89692.422,90267.295,0.035367014
2025-12-08 18:00:00,90263.3275,91558.1005726285,89723.4325,89929.01,0.008121067
2025-12-08 19:00:00,89914.158,90387.877,89814.152,90125.0,0.031186793
2025-12-08 20:00:00,90140.6035,90950.31,90055.955,90814.353,0.377331514
2025-12-08 21:00:00,90804.8165,91425.0,90669.12,91320.9,0.002798909
2025-12-08 22:00:00,91330.66,91392.8,90731.061,90866.145,0.005890972
2025-12-08 23:00:00,90868.135,91049.766,90497.195,90638.6,0.003201077
2025-12-09 00:00:00,90628.67,90888.485,90345.546,90386.305,0.022897326
2025-12-09 01:00:00,90397.645,90607.039,89964.6,90055.25,0.002005125
2025-12-09 02:00:00,90070.23,90396.2505,89978.0,90090.249,0.003233012
2025-12-09 03:00:00,90070.1535,92022.382098309,89803.85,90418.4675,0.004283997
2025-12-09 04:00:00,90414.625,90558.3,89724.55,89956.016,0.149121238
2025-12-09 05:00:00,89928.893,90240.925,89548.042,89911.163,0.034796106
2025-12-09 06:00:00,89914.05,90268.0755,89750.73,90166.6985,0.012682619
2025-12-09 07:00:00,90180.4575,90578.3455,90061.75,90502.254,0.01446214
2025-12-09 08:00:00,90496.8965,90634.37,90355.045,90520.25,0.008479188
2025-12-09 09:00:00,90516.543,90516.787,90124.358,90124.358,0.001277877
2025-12-09 10:00:00,90145.29,90365.78,89928.7835,90290.4155,0.016518315
2025-12-09 11:00:00,90316.37,90423.9615,90127.174,90387.0665,0.004102362
2025-12-09 12:00:00,90398.845,90713.345,90305.235,90570.556,0.004301998
2025-12-09 13:00:00,90580.8705,90880.065,90177.945,90444.9,0.015209597
2025-12-09 14:00:00,90437.575,92099.9724938105,90002.705,90341.71,0.029181951
2025-12-09 15:00:00,90357.28,92909.7065,90270.22,92728.15,0.090082093
2025-12-09 16:00:00,92719.865,94520.44,90426.6112625665,94231.45,0.172686272
2025-12-09 17:00:00,94185.015,94646.745,90757.7864735265,93940.408,0.501832816
2025-12-09 18:00:00,93940.7195,94236.865,93663.561,93963.8555,2.206117615
2025-12-09 19:00:00,93930.9,94245.275,93653.2435,93837.8835,0.016283089
2025-12-09 20:00:00,93829.196,93878.78,92765.8785,93130.05,0.099671306
2025-12-09 21:00:00,93162.09,93273.2195,92256.9095,92661.883,0.007438573
2025-12-09 22:00:00,92647.18,93066.1755,92490.725,92903.4355,0.002462447
2025-12-09 23:00:00,92888.055,93031.4535,92546.1,92681.575,0.00321541
2025-12-10 00:00:00,92690.785,92799.0545,92087.043,92124.575,0.009093455
2025-12-10 01:00:00,92169.227,92436.9,91973.095,92362.987,0.006086065
2025-12-10 02:00:00,92322.812,92614.25,92026.3,92523.56,0.00687916
2025-12-10 03:00:00,92544.4335,92583.9,92339.8075,92417.281,0.004899213
2025-12-10 04:00:00,92454.735,92696.3,92380.647,92585.929,0.013907357
2025-12-10 05:00:00,92577.08,92781.4,92521.135,92560.18,0.02676212
2025-12-10 06:00:00,92553.875,92788.8235,92402.2145,92724.285,0.005941477
2025-12-10 07:00:00,92694.482,92818.347,92485.7275,92818.347,0.013559753
2025-12-10 08:00:00,92804.76,92837.12,92541.7685,92629.277,0.156339487
2025-12-10 09:00:00,92631.58,92983.265,92439.2715,92955.715,0.037640085
2025-12-10 10:00:00,92909.15,93254.0135,92134.95,92268.4035,0.023840835
2025-12-10 11:00:00,92237.29,92469.1825,91766.33,92134.205,0.005715327
2025-12-10 12:00:00,92132.0695,92247.71,91820.735,91982.275,0.057047454
2025-12-10 13:00:00,91992.53,92851.63760601,91943.91,92116.697,0.184507925
